id,article_id,index,explanation,date_created
0,0,0,"<h3>pathetic, inflammatory</h3><br><p>The description ""pathetic, inflammatory"" reflects an opinion and not objective fact. These kinds of words can influence how readers feel before they have a chance to make up their own minds. Removing them would make the statement more neutral and allow people to judge the situation based on the information itself. Readers can still reach their own conclusions without being guided by emotionally charged language.</p>",
1,0,1,"<h3>bizarrely claimed</h3><br>     <p>The adjective ""bizarrely"" represents a subjective assessment rather than objective fact. Rather than address any points, it dismisses them without explanation.</p><br>
        <p>The word, 'claimed' had a hyperlink to a post on X by @RapidResponse47:</p><br>
        <blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">WALZ: &quot;There is no verifiable evidence that any of this is making America safer.&quot;<a href=""https://twitter.com/DHSgov?ref_src=twsrc%5Etfw"">@DHSgov</a> <a href=""https://twitter.com/ICEgov?ref_src=twsrc%5Etfw"">@ICEgov</a> has prevented countless murders, rapes, and assaults of American citizens by getting criminal illegals off our streets.<br><br>What does this sick freak find offensive about that? <a href=""https://t.co/qF0H5lVCIL"">pic.twitter.com/qF0H5lVCIL</a></p>&mdash; Rapid Response 47 (@RapidResponse47) <a href=""https://twitter.com/RapidResponse47/status/2009322756698251394?ref_src=twsrc%5Etfw"">January 8, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script><br>
        <p>Barring the emotionally charged (or, as one could say, ""inflammatory"") language and the ad hominem attack (attacking Walz as a person rather than addressing his claims with evidence), the full crime statistics for 2025 are not available as of January 10, 2026. Based on data obtained from the Real-Time Crime Index, there has been a downward trend for murders, rapes, and assaults nationwide. Since the data for November and December are not available, I used data from January-October for each year to create the following:</p><br>
        <div class=""image-container"">
            <img src=""/assets/Murders.png"" class=""popup-image"" alt=""Nationwide Murders 2018-2025"" width=""500"">
            <img src=""/assets/Rape.png"" class=""popup-image"" alt=""Nationwide Rape 2018-2025"" width=""500"">
            <img src=""/assets/Assault.png"" class=""popup-image"" alt=""Nationwide Assault 2018-2025"" width=""500"">
        </div>
          
        <p>Examining the percentage change shows that it has remained negative over the past several years, with a larger decline occurring between 2024 and 2025. However, it is difficult to determine whether this change can be attributed specifically to President Trump's immigration enforcement policies or to other contributing factors.</p><br>
        <p><b>References:</b></p>
        <p>Real-Time Crime Index, Full Sample, Nationwide's composite agencies. (2024). <i>final_sample</i> [Data set]. AH Datalytics. <a href=""https://realtimecrimeindex.com"">https://realtimecrimeindex.com</a></p>",
2,0,2,"<h3>“there is no verifiable evidence” that President Donald J. Trump’s immigration enforcement operations are “making America safer.”</h3><br>
           <p>Similarly to the previous comment, there was a downwards trend in crime over a couple years, so it is hard to correlate the trend solely to President Trump's immigrant enforcement operations.</p><br>
        <p><b>References:</b></p>
        <p>Real-Time Crime Index, Full Sample, Nationwide's composite agencies. (2024). <i>final_sample</i> [Data set]. AH Datalytics. <a href=""https://realtimecrimeindex.com"">https://realtimecrimeindex.com</a></p>",
3,0,3,"<h3>Radical Left lunatics</h3><br>
             <p>This description relies on emotionally charged language rather than objective analysis. Terms such as ""Radical Left"" and ""lunatic"" are often used in political rhetoric to shape perception and can carry negative connotations (Oxford University Press, n.d.) that discredit the subject rather than explain their views.</p><br>
        <p>Governor Tim Walz's political positions are more accurately described as center-left by international standards and progressive-left within the U.S. context. As governor, he has supported policies such as expanded labor protections, universal school meals, gun safety measures, protections for abortion rights and LGBTQ+ individuals, and investments in clean energy (Vote Smart | Facts For All, 2024). These positions place him left of center in U.S. politics.</p><br>
        <p>Economically, Walz supports government involvement to reduce inequality, increased public spending on social services, and progressive taxation, aligning with social-democratic or progressive liberal approaches (Vote Smart | Facts For All, 2024). While he began his career as a more moderate Democrat, his positions have shifted left over time. He continues to work within existing democratic institutions, making descriptions of him as ""far-left"" or ""extreme"" more rhetorical than analytical.
        </p><br>

        <p><b>References:</b></p>
            <p>Masters, C. (2024, August 9).<i> How Tim Walz went from “Blue Dog Democrat” to progressive champion. NPR.</i> <a href=""https://www.npr.org/2024/08/09/nx-s1-5068291/tim-walz-kamala-harris-vice-president-2024-trump-minnesota"">https://www.npr.org/2024/08/09/nx-s1-5068291/tim-walz-kamala-harris-vice-president-2024-trump-minnesota</a></p>
            <p><i>Oxford University Press.</i> (n.d.). Lunatic, adj., 1.c. In Oxford English dictionary. Retrieved January 9, 2026, from https://doi.org/10.1093/OED/8714103457
            <a href=""https://justfacts.votesmart.org/candidate/biography/65443/tim-walz"">https://justfacts.votesmart.org/candidate/biography/65443/tim-walz</a></p>
            <p><i>Vote Smart | Facts For All.</i> (2024). Vote Smart. <a href=""https://justfacts.votesmart.org/candidate/evaluations/65443/tim-walz"">https://justfacts.votesmart.org/candidate/evaluations/65443/tim-walz</a></p>",
4,0,4,"<h3>blinded by their deep delusions and seething hatred</h3><br>
                <p>The phrase ""blinded by their deep delusions and seething hatred"" uses strong emotional language rather than factual statements. It assumes the thoughts and motives of others without evidence and is meant to influence how readers feel about them. This type of wording does not support objective discussion and shifts attention away from facts or specific actions.</p>
",
5,0,5,"<h3>untethered from reality</h3><br>
        <p>The phrase ""untethered from reality"" dismisses opposing views without directly addressing or responding to the arguments being made. Rather than offering evidence or counterpoints, it labels the position in a way that avoids substantive discussion.</p>
",
6,0,6,"<h3>indisputable evidence</h3><br>
        <p>This wording presents a strong claim without providing sources or supporting data. Without clear evidence, the claim cannot be independently verified and should be treated as an assertion rather than a confirmed fact.</p>",
7,0,7,"<h3>literally saving lives</h3><br>
        <p>The phrase uses exaggerated language to emphasize impact. Even if immigration enforcement had some effect, describing it in absolute terms overstates what can be reliably demonstrated. Without clear evidence directly linking the policies to specific outcomes, this wording functions as rhetorical emphasis rather than a precise or verifiable claim.</p>
",
8,0,8,"<h3>largest ever</h3><br>
        <p>Based on homicide data from the CDE, 2025 shows the largest year-to-year decline in homicides since at least 1985 (Federal Bureau of Investigation, 2023). Although data for December 2025 is incomplete, the missing information is unlikely to significantly alter the overall trend.</p><br>

        <p>In the article, the word ""saw"" links to an Axios article that reports percentage changes between 2024 and 2025 and places the decline in a broader context. The article notes that the reduction in homicides is part of a wider decrease in violent crime following the increase observed during the COVID period (Bragg, 2025).</p><br>

        <p><b>References:</b></p>
        <p>Bragg, J. (2025, December 24). <i>U.S. murders on pace for largest one-year drop on record.</i> Axios. <a href=""https://www.axios.com/2025/12/24/us-trump-murder-data-killing-crime-national-guard"">https://www.axios.com/2025/12/24/us-trump-murder-data-killing-crime-national-guard</a></p>
        <p>Federal Bureau of Investigation. (2023). <i>Federal Bureau of Investigation Crime Data Explorer.</i> Cjis.gov. <a href=""https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/shr"">https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/shr.</a></p>
",
9,0,9,"<h3>especially steep drops</h3><br>
        <p>The phrase implies a direct connection between enforcement actions and reductions in crime. While a correlation is suggested, additional evidence is needed to establish causation. Other factors, such as local government programs and long-term crime trends, could also contribute to these declines.</p><br>

        <p>The word ""undertook"" links to a Heritage Foundation article highlighting crime reductions in Washington, D.C., but the article does not provide the full context. Data from 2023-2024 shows an even larger percentage decrease in overall violent crime and every sub-category save for burglary, suggesting that the trend was already downward before these enforcement actions (District Crime Data at a Glance | Mpdc, 2026). Additionally, data for December 2025 is incomplete, so the full-year impact is not fully captured.</p><br>

        <p>The word ""cities"" links to an ABC News article reporting mid-November 2025 figures, noting large percentage drops in specific crimes such as homicides, robberies, and carjackings (Minock, 2025). When the full-year data is examined, the decreases are smaller and closely match trends from previous years. For example, homicides decreased by 32% in 2025, similar to a 31% decrease in 2024. Robberies were down 37% in 2025, which is similar to 39% in 2024. Carjackings showed a similar pattern with being down 50% in 2025 and 48% in 2024 (Carjacking | Mpdc, n.d.; DC Crime Data and Stats - Robbery, 2024; U.S. ATTORNEY’S OFFICE FOR THE DISTRICT OF COLUMBIA, 2024). These figures indicate that the observed reductions may not be solely attributable to federal immigration enforcement.</p>

        <p>The phrase ""steep drop"" links to another ABC article noting the largest year-to-year decline since 1985 (Hutchinson, 2025). While 2025 does show a significant drop in homicides based on CDE data, the overall downward trend across multiple years suggests that these declines are part of an ongoing pattern rather than the result of a single policy (Federal Bureau of Investigation, 2023). In addition, the data from areas like Chicago and D.C. have maintained a downwards trend without exhibiting a 'steep drop' (Chicago, n.d.; District Crime Data at a Glance | Mpdc, 2026).</p>

        <p><b>References:</b></p>
        <p><i>Carjacking | mpdc.</i> (n.d.). Mpdc.dc.gov. <a href=""https://mpdc.dc.gov/page/carjacking"">https://mpdc.dc.gov/page/carjacking</a></p>
        <p>Chicago. (n.d.). <i>Violence and Victimization Trends.</i> www.chicago.gov. <a href=""https://www.chicago.gov/city/en/sites/vrd/home/violence-victimization.html"">https://www.chicago.gov/city/en/sites/vrd/home/violence-victimization.html</a></p>
        <p><i>DC Crime Data and Stats - Robbery.</i> (2024). Crimedatadc.com. <a href=""https://www.crimedatadc.com/todate/robbery"">https://www.crimedatadc.com/todate/robbery</a></p>
        <p><i>District Crime Data at a Glance | mpdc.</i> (2026, January 9). Mpdc.dc.gov. <a href=""https://mpdc.dc.gov/dailycrime"">https://mpdc.dc.gov/dailycrime</a></p>
        <p>Federal Bureau of Investigation. (2023). <i>Federal Bureau of Investigation Crime Data Explorer.</i> Cjis.gov. <a href=""https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/shr"">https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/shr.</a></p>
        <p>Hutchinson, B. (2025, December 31).<i> US poised to end 2025 with the largest one-year drop in homicides ever recorded: Experts.</i> ABC News.<a href=""https://abcnews.go.com/US/us-poised-end-2025-largest-year-drop-homicides/story?id=128646976"">https://abcnews.go.com/US/us-poised-end-2025-largest-year-drop-homicides/story?id=128646976</a></p>
        <p>Minock, N. (2025, November 14). <i>US Marshals Service Director says DC safer after President Trump’s crime crackdown.</i> WJLA. <a href=""https://wjla.com/news/local/us-marshals-service-director-claims-dc-safer-after-president-trumps-crime-crackdown-washington-capital-carjackings-gadyaces-serralta-cashless-bail-mpd-police-union-congress"">https://wjla.com/news/local/us-marshals-service-director-claims-dc-safer-after-president-trumps-crime-crackdown-washington-capital-carjackings-gadyaces-serralta-cashless-bail-mpd-police-union-congress</a></p>
        <p>Stimson, C. (2019). <i>Trump’s D.C. Crime Success Puts Spotlight on Chicago’s Deadly “War Zone.”</i> The Heritage Foundation. <a href=""https://www.heritage.org/crime-and-justice/commentary/trumps-dc-crime-success-puts-spotlight-chicagos-deadly-war-zone"">https://www.heritage.org/crime-and-justice/commentary/trumps-dc-crime-success-puts-spotlight-chicagos-deadly-war-zone</a></p>
        <p>U.S. ATTORNEY’S OFFICE FOR THE DISTRICT OF COLUMBIA. (2024). 2024 Violent Crime Outcomes. In justice.gov (p. 2). <a href=""https://www.justice.gov/usao-dc/media/1382896/dl?inline"">https://www.justice.gov/usao-dc/media/1382896/dl?inline</a></p>",
10,0,10,"<h3>150 illegal alien sex offenders</h3><br>
        <p>The term 'illegal alien' dehumanizes and oversimplifies various complex situations individuals may be in.</p><br>

        <p>The operation referred to as <i>Operation Dirtbag</i> (Leonard, 2026) resulted in the arrest of 230 undocumented immigrants. According to ICE Deputy Director Madison Sheahan, those arrested included 54 individuals identified as sexual predators, 164 charged with sexual offenses, two convicted murderers, one convicted drug trafficker, and eight others charged with serious felonies such as aggravated battery, possession of narcotics, possession of marijuana, possession of a controlled substance, and burglary (Cabrera, 2025; Leonard, 2026).</p><br>

        <p>While this data describes the arrests and the criminal histories of those individuals, it does not provide evidence of an impact on overall crime rates.</p><br>

        <p><b>References:</b></p>
        <p>Cabrera, S. (2025, November 13). <i>ICE lauds Florida operation netting 230 arrests, sends out warning to Venezuelans who lost TPS.</i> WLRN. <a href=""https://www.wlrn.org/immigration/2025-11-13/ice-immigration-operation-venezuelans"">https://www.wlrn.org/immigration/2025-11-13/ice-immigration-operation-venezuelans</a></p>
        <p>Leonard, K. (2026). <i>POLITICO Pro: Florida, ICE announce 230 arrests in “Operation Dirtbag.”</i>. <a href=""https://subscriber.politicopro.com/article/2025/11/florida-ice-announce-230-arrests-in-operation-dirtbag-00650226"">https://subscriber.politicopro.com/article/2025/11/florida-ice-announce-230-arrests-in-operation-dirtbag-00650226</a></p>
",
11,0,11,"<h3>dramatic decrease in violent crime</h3><br>
        <p>Violent crime in Chicago has decreased in recent years, with 2025 recording the lowest total violent crime since 2022 (Chicago, n.d.). While this trend is notable, it is not possible to determine whether the decline is the result of immigration enforcement efforts or other factors, such as local policing strategies, community programs, or broader social and economic conditions. The data show a reduction in crime, but causation cannot be inferred from these numbers alone.</p><br>

        <img src=""assets/chicago_image.png"" class=""popup-image"" alt=""Chicago Crime Trend"" width=""500""></image>

        <p><b>References:</b></p>
        <p>Chicago. (n.d.). <i>Violence and Victimization Trends.</i> www.chicago.gov. <a href=""https://www.chicago.gov/city/en/sites/vrd/home/violence-victimization.html"">https://www.chicago.gov/city/en/sites/vrd/home/violence-victimization.html</a></p>
",
12,0,12,"<h3>staggering 70% of the 650,000+ illegal aliens</h3><br>
        <p>The word 'staggering' is a subjective intensifier. The claim should be interpreted cautiously, as it is unclear whether the statistic includes minor offenses or how broadly ""crime"" is defined. Even if accurate, this figure does not necessarily indicate an overall improvement in public safety.</p><br>

        <p>The phrase ""650,000 illegal aliens"" was linked to a video of Secretary Kristi Noem:</p><br>

        linked to post on x:
        <blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">NEW: <a href=""https://twitter.com/Sec_Noem?ref_src=twsrc%5Etfw"">@Sec_Noem</a> announces that 2.6 million illegals have left our country since President Trump took office — including 650,000 who were arrested, detained, and deported, and two million who self-deported. <a href=""https://t.co/8Y5xzsb2KQ"">pic.twitter.com/8Y5xzsb2KQ</a></p>&mdash; Rapid Response 47 (@RapidResponse47) <a href=""https://twitter.com/RapidResponse47/status/2009305287404958006?ref_src=twsrc%5Etfw"">January 8, 2026</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script><br>

        <p>The figure of 650,000+ was linked to the statement by Secretary Kristi Noem. I struggled finding statistical data supporting the statement, for comparison, The Guardian's ICE tracker reports a total of 352,380 deportations, which is lower than the 650,000 figure often cited (Craft & Witherspoon, 2025; U.S. Immigration and Customs Enforcement, 2025). However, public records show that ICE informed Congress in summer 2024 of a list of 650,000 immigrants with criminal histories whom they planned to locate. The most common offenses included traffic violations (such as drunk driving), immigration violations (such as illegal reentry), and assault (Miroff, 2025). Other sources note that some deported individuals had criminal histories, but nearly 73% of deportations involved people without a criminal conviction (Bier, 2025).</p><br>

        <p>The word ""crimes"" was linked to a DHS article that highlighted some immigrants captured by ICE with a criminal history; however, it fails to mention other American citizens accidentally arrested as well (Department of Homeland Security, 2025; Sprecher, 2025).</p><br>
        
        <p>Overall, the statistic may exaggerate the impact of deportations on public safety and should be interpreted in the context of broader ICE enforcement data and definitions of crime.</p><br>

        <p><b>References:</b></p>
        <p>Bier, D. J. (2025). <i>5% of People Detained By ICE Have Violent Convictions, 73% No Convictions.</i> Cato.org. <a href=""https://www.cato.org/blog/5-ice-detainees-have-violent-convictions-73-no-convictions"">https://www.cato.org/blog/5-ice-detainees-have-violent-convictions-73-no-convictions</a></p>
        <p>Craft, W., & Witherspoon, A. (2025, August 29). <i>By the numbers: the latest Ice and CBP data on arrests, detentions and deportations in the US.</i> The Guardian; The Guardian. <a href=""https://www.theguardian.com/us-news/ng-interactive/2025/aug/29/trump-immigration-ice-cbp-data"">https://www.theguardian.com/us-news/ng-interactive/2025/aug/29/trump-immigration-ice-cbp-data</a></p>
        <p>Department of Homeland Security. (2025). <i>ICE Arrests Worst of Worst Criminal Illegal Aliens Including Pedophiles, Rapists and Violent Assailants | Homeland Security.</i> U.S. Department of Homeland Security. <a href=""https://www.dhs.gov/news/2025/12/17/ice-arrests-worst-worst-criminal-illegal-aliens-including-pedophiles-rapists-and"">https://www.dhs.gov/news/2025/12/17/ice-arrests-worst-worst-criminal-illegal-aliens-including-pedophiles-rapists-and#:~:text=“ICE%20law%20enforcement,just%20the%20beginning.”</a></p>
        <p>Miroff, N. (2025, March 11). <i>ICE Isn’t Delivering the Mass Deportation Trump Wants</i>. The Atlantic. <a href=""https://www.theatlantic.com/politics/archive/2025/03/trump-immigration-deportation-agenda/682005/"">https://www.theatlantic.com/politics/archive/2025/03/trump-immigration-deportation-agenda/682005/</a></p>
        <p>Sprecher, A. M. (2025).<i> All the U.S. Citizens Who’ve Been Caught Up in Trump’s Immigration Crackdown.</i> Nymag.com. <a href=""https://www.congress.gov/119/meeting/house/118180/documents/HMKP-119-JU00-20250430-SD003.pdf"">https://www.congress.gov/119/meeting/house/118180/documents/HMKP-119-JU00-20250430-SD003.pdf</a></p>
        <p>U.S. Immigration and Customs Enforcement. (2025). <i>Detention Management.</i> Www.ice.gov. <a href=""https://www.ice.gov/detain/detention-management"">https://www.ice.gov/detain/detention-management</a></p>",
